w,c,zh,en,us,core,ex,exz
reasonable,'riːz(ə)nəb(ə)l,adj. 明智的；合理的；公平的,adj. fair and sensible,'riznəbl,"【记忆】reason(道理) + able(能…的) → 能讲理的 → 通情达理的 | 【短语】reasonable price (合理价格；价格公道), reasonable distribution (合理级配), reasonable time (合理期限；适当的时间)",a reasonable request,合情合理的要求
naught,nɔːt,n. =naught无，零,,nɔt,【短语】come to naught (失败),,
unfold,ʌn'fəʊld,vt&vi. 展开，打开,"vt&vi. if you unfold something that was folded, or if it unfolds, it opens out",ʌn'fold,,He unfolded the map.,他展开地图。
cushion,'kʊʃ(ə)n,n. 垫子，坐垫，垫状物；v. 装垫子；缓冲,"n. a cloth bag filled with soft material that you put on a chair or the floor to make it more comfortable；v. to make the effect of a fall or hit less painful, for example by having something soft in the way",'kʊʃən,"【短语】air cushion (气垫), seat cushion (弹性座垫), back cushion (靠背垫)",a velvet cushion,天鹅绒垫子
mimic,'mɪmɪk,adj. 假装的，模仿的，草拟的,,'mɪmɪk,【短语】mimic warfare (模拟战争),,
vicinity,vɪ'sɪnɪtɪ,n. 邻近，附近,n. in the area around a particular place,və'sɪnəti,"【短语】in the vicinity of (在…附近；在…上下), in the vicinity (在附近), immediate vicinity (紧邻)",The stolen car was found in the vicinity of the station.,被盗汽车在车站附近被发现。
toss,tɒs,v&n. 扔，掷；摇摆,"v&n. to throw something, especially something light, with a quick gentle movement of your hand",tɔs,"【短语】toss in ([新西兰俚语]放弃；结束), toss and turn (辗转反侧；翻来覆去难以入睡), argue the toss (对(决定)提出异议(或辩论)；争论已决定的事，作无谓的争执)",Toss the carrots in some butter before serving.,上桌前把胡萝卜放在黄油里搅拌一下。
refine,rɪ'faɪn,v. 精炼，提纯；使文雅,v. to make a substance purer using an industrial process,rɪ'faɪn,【短语】refine on (精于；改进),oil refining,石油的提炼
shred,ʃred,n. 碎片；最少量；v. 撕碎,n. a small thin piece that is torn or cut roughly from something；v. to cut or tear something into small thin pieces,ʃrɛd,【短语】tear to shreds (◎撕碎，扯碎),Cut the cabbage into fine long shreds.,把这棵卷心菜切成细长条。
disperse,dɪ'spɜːs,v. (使)散开，使疏开，使分散,"v. if a group of people disperse or are dispersed, they go away in different directions",dɪ'spɝs,"【短语】disperse dye (分散染料), disperse phase (分散相；分散质), disperse system (分散体系；分散系统；分散物系)",Police used tear gas to disperse the crowd.,警察用催泪瓦斯驱散人群。
edition,ɪ'dɪʃ(ə)n,n. 版本，版次,"n. the form that a book, newspaper, magazine etc is produced in",ɪ'dɪʃən,"【短语】new edition (修订版，新版；新版本), first edition (（书籍、杂志的）初版), special edition (专刊，号外)",a paperback edition,平装本
fetter,'fetə,n&vt. 脚镣; 束缚,n&vt. to restrict someone’s freedom and prevent them from doing what they want,'fɛtɚ,,fettered by family responsibilities,受家庭责任的束缚
renaissance,rɪ'neɪsəns,n. 文艺复兴；复兴，勃发,"n. a new interest in something, especially a particular form of art, music etc, that has not been popular for a long period",'rɛnəsɑns,"【记忆】re(重新) + naiss(=nasc出生) + ance → 获得新生 → 复兴， 新生 | 【短语】renaissance man (n. 文艺复兴人；多才多艺的人), early renaissance ([建]早期文艺复兴的艺术风格；文艺复兴初期（1378-1500）), harlem renaissance (哈莱姆文艺复兴)",...the Renaissance masterpieces in London's galleries.,…伦敦美术馆里文艺复兴时期的杰作。
proceeding,prəʊ'siːdɪŋ,n. 程序，进程；活动，诉讼,n. when someone uses a court of law to deal with a legal case,prə'sidɪŋ,"【记忆】pro(向前) + ceed(行走) → 进行； 前进 | 【短语】legal proceeding (诉讼；法律程序), civil proceeding (民事（诉讼）程序), judicial proceeding (司法程序)",John is taking legal proceedings against his ex-partner.,约翰在对他的前合伙人提起法律诉讼。
abridge,ə'brɪdʒ,v. (书等)删节,v. to reduce the length of (a written work) by condensing or rewriting,ə'brɪdʒ,,Article 33 A book publisher may alter or abridge a work with the permission of the copyright owner.,第三十三条图书出版者经作者许可，可以对作品修改、删节。
dome,dəʊm,n. 圆屋顶,n. a round roof on a building,dom,"【记忆】和home(n. 家)一起记 | 【短语】dome structure (穹状构造；穹隆构造；穹窿构造), geodesic dome (网格状球顶), dome light (穹顶天窗孔；座舱顶灯)",...the dome of the Capitol.,…国会大厦的穹顶。
reckon,'rek(ə)n,v. 计算,"v. to guess a number or amount, without calculating it exactly",'rɛkən,"【记忆】reck(注意， 留心) + on → 估计； 测算 | 【短语】reckon with (处理；对付；和…算帐；预料到), reckon on (指望；依赖), reckon in (把…计算在内)",The expression ‘full moon’ means the fourteenth day of the moon reckoned from its first appearance.,所谓“满月”是指从新月初现算起的第14天。
rarely,'reəlɪ,adv. 非常地，难得,,'rɛrli,"【短语】rarely if ever (几乎从不), rarely or never (几乎从来不；非常难得)",,
rural,'rʊər(ə)l,adj. 农村的,"adj. happening in or relating to the countryside, not the city",'rʊrəl,"【记忆】rur(乡村) + al→ 农村的， 乡村的 | 【短语】rural economics (农村经济), rural area (农村地区；乡郊地区), rural population (农村人口)",a rural setting,乡村环境
imitation,ɪmɪ'teɪʃ(ə)n,n. 模仿，仿造，仿制品，人造,n. when you copy someone else’s actions,",ɪmɪ'teʃən","【短语】in imitation of (仿效；模仿), imitation wood (仿制材；人造木)",The remake of ‘Casablanca’ was a pale imitation (= something that is much less good than the thing it imitates ) of the original movie.,重拍的《卡萨布兰卡》远不如原版。
steward,'stjuːəd,n. 乘务员，服务员，组织者,n. a man whose job is to serve food and drinks to passengers on a plane or ship,'stuɚd,,race stewards,比赛组织者
abound,ə'baʊnd,v. 多；富于,,ə'baʊnd,"【记忆】a(一个) + bound(界限， 范围) → 所有物品都在一个范围内 → 富于； 充满 | 【短语】abound in (vt. 富于), abound with (充满)","Rumors of such coordination abound, but as with many rumors, they have no basis in fact.",关于这类协调的谣传很多；但如同许多其他谣传一样，它们没有事实根据。
colonial,kə'ləʊnɪəl,adj. 殖民地的，关于殖民的；n. 殖民地居民,"adj. relating to a country that controls and rules other countries, usually ones that are far away；n. someone who lives in a  colony  but who is a citizen of the country that rules the colony",kə'lonɪəl,"【短语】colonial rule (殖民统治), colonial expansion (殖民扩张)",the struggle against colonial rule,反抗殖民统治的斗争
immense,ɪ'mens,adj. 广大的，巨大的,adj. extremely large,ɪ'mɛns,【记忆】im(不) + mens(测量) + e → 不能测量的 → 巨大的， 广大的,People who travel by rail still read an immense amount.,人们坐火车旅行时仍然会读很多书。
placard,'plækɑːd,n. 招贴，布告,"n. a large notice or advertisement on a piece of card, which is put up or carried in a public place",'plækɑrd,,a huge placard saying ‘Welcome to Derbyville’,印有“欢迎来到德比维尔”的巨幅标语牌
client,'klaɪənt,n. 律师等的当事人，委托人；商店的顾客,"n. someone who gets services or advice from a professional person, company, or organization",'klaɪənt,"【短语】client service (客户服务；向委托部门提供服务), client base (客户群；基本顾客), client side (客户端；使用端)",a meeting with an important client,与一位重要客户的会面
flavour,'fleɪvə,n&vt. 味，风味，调味，特点,n&vt. the particular taste of a food or drink,'fleivə,【记忆】喜欢(favour)加上l(看作love， 爱)， 生活更有味道(flavour) | 【短语】flavour enhancer (鲜味增强剂；香味增强剂),Which flavour do you want - chocolate or vanilla?,你要哪种味道的，巧克力还是香草？
exchange,ɪks'tʃeɪndʒ; eks-,v&n. 交换；兑换,v&n. the act of giving someone something and receiving something else from them,ɪks'tʃendʒ,"【短语】exchange rate (汇率；兑换率), foreign exchange (外汇；国际汇兑；外国汇票), stock exchange (证券交易所)",Four of my cassettes for your Madonna CD is a fair exchange.,我用四盒磁带换你的麦当娜激光唱片很公平。
pamphlet,,n. 小册子,"n. a very thin book with paper covers, that gives information about something",ˈpæmflɪt,,a political pamphlet,政治宣传册
module,'mɒdjuːl,n. 量度单位；建筑用的标准部件,n. one of the separate units that a course of study has been divided into. Usually students choose a number of modules to study,'mɑdʒul,"【记忆】和model(n. 模型)一起记 | 【短语】control module (控制模块；控制部件), communication module ([计]通信模块), display module (显示组件，显示模组)",a module in mathematics,数学课的一个单元
gentle,'dʒent(ə)l,adj. 文雅的；有礼貌的,,'dʒɛntl,"【短语】gentle breeze (微风；[气象]蒲福三级风), gentle slope (缓坡；平缓坡度；平缓倾斜), gentle and soft (温柔)","Arthur was a very gentle, caring person.",阿瑟是一个非常温柔体贴的人。
annoy,ə'nɒɪ,v. 使烦恼，使生气,v. to make someone feel slightly angry and unhappy about something,ə'nɔɪ,,What annoyed him most was that he had received no apology.,最令他生气的是没人向他道歉。
luminous,'luːmɪnəs,adj. 发光的；发亮的,adj. shining in the dark,'lʊmənəs,"【短语】luminous efficiency (光视效率), luminous intensity (发光强度，照度), luminous flux (n. 光通量（单位为流明lumen）)",luminous paint,发光涂料
exclaim,ɪk'skleɪm; ek-,v. 呼叫，惊叫,"v. to say something suddenly and loudly because you are surprised, angry, or excited",ɪk'sklem,,‘No!’ she exclaimed in shock.,“不！”她惊呼道。
pertinent,'pɜːtɪnənt,adj. 贴切的，中肯的,,'pɝtnənt,【短语】pertinent data (有关资料，相应的资料),He asked me a lot of very pertinent questions .,他问了我许多直接相关的问题。
certify,'sɜːtɪfaɪ,v. (发给证书)证明,"v. to state that something is correct or true, especially after some kind of test",'sɝtə'fai,【记忆】cert(确认) + ify → 使得到确认 → 证明， 保证,The accounts were certified by an auditor.,这些账目经审计员核实过。
revenue,'revənjuː,n. (国家的)年收入；税收,"n. money that a business or organization receives over a period of time, especially from selling goods or services",'rɛvənu,"【记忆】re(回) + ven(来) + ue → 回来的东西 → 收入 | 【短语】tax revenue (税收；赋税收入), sales revenue (产品销售收入), revenue and expenditure (收支)",advertising revenue,广告收入
